N,nnz,avg_degree,SC_mean,SC_std,GSC_mean,GSC_std,logN,N_nnz
500,6000,12.0,0.15893278033339206,0.0030399636191133397,0.1823510376671038,0.008135267548874671,6.214608098422191,3000000
1000,13000,13.0,0.41391952799979964,0.012995242338926533,0.3958111669999198,0.01757227066510373,6.907755278982137,13000000
2000,30000,15.0,1.7787579603342845,0.04862593143322965,1.753826106667475,0.01663614049221376,7.600902459542082,60000000
5000,85000,17.0,21.279302215999753,0.9441166370315761,21.359749224666302,1.5039323479097215,8.517193191416238,425000000
10000,180000,18.0,209.74267128633255,0.6353327438770378,207.6287770993331,1.5421924850583226,9.210340371976184,1800000000
