N,D,k,SC_mean,SC_std,GSC_mean,GSC_std,logN,N2logN
500,10,7,0.15294154299954243,0.00979578694584728,0.15946504633332856,0.0053838147938855795,6.214608098422191,1553652.0246055478
1000,10,7,0.1871392583331423,0.010825740562156008,0.18801496166634024,0.007250860942510489,6.907755278982137,6907755.278982136
2000,10,8,0.504295121333295,0.029582648137690216,0.4575106883333622,0.0068800938034110325,7.600902459542082,30403609.83816833
5000,10,9,3.188956025999687,0.05239590568419804,3.568695215666897,0.058767499906546665,8.517193191416238,212929829.78540596
10000,10,10,21.25360506299997,0.8413514819974158,22.966257758332784,0.6393206981064162,9.210340371976184,921034037.1976184
20000,10,10,196.6613581469998,3.7057445776514166,200.9087418429996,1.5006909311503087,9.903487552536127,3961395021.014451
